areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-12-16,,6405.0,
E92000001,England,nation,2021-12-15,127730.0,6358.0,18715.0
E92000001,England,nation,2021-12-14,127706.0,6434.0,65986.0
E92000001,England,nation,2021-12-13,127639.0,6395.0,66935.0
E92000001,England,nation,2021-12-12,127572.0,6223.0,42967.0
E92000001,England,nation,2021-12-11,127490.0,6095.0,39259.0
E92000001,England,nation,2021-12-10,127420.0,6088.0,42592.0
E92000001,England,nation,2021-12-09,127345.0,6130.0,46448.0
E92000001,England,nation,2021-12-08,127255.0,6053.0,47751.0
E92000001,England,nation,2021-12-07,127168.0,6027.0,46174.0
E92000001,England,nation,2021-12-06,127077.0,5992.0,49275.0
E92000001,England,nation,2021-12-05,126972.0,5903.0,33935.0
E92000001,England,nation,2021-12-04,126881.0,5784.0,32368.0
E92000001,England,nation,2021-12-03,126768.0,5851.0,38146.0
E92000001,England,nation,2021-12-02,126662.0,5915.0,41910.0
E92000001,England,nation,2021-12-01,126582.0,5829.0,45992.0
E92000001,England,nation,2021-11-30,126480.0,6123.0,46436.0
E92000001,England,nation,2021-11-29,126396.0,6094.0,46644.0
E92000001,England,nation,2021-11-28,126295.0,5890.0,33038.0
E92000001,England,nation,2021-11-27,126207.0,5852.0,27803.0
E92000001,England,nation,2021-11-26,126122.0,5992.0,32904.0
E92000001,England,nation,2021-11-25,126016.0,6068.0,36259.0
E92000001,England,nation,2021-11-24,125909.0,6062.0,38918.0
E92000001,England,nation,2021-11-23,125814.0,6257.0,40104.0
E92000001,England,nation,2021-11-22,125694.0,6424.0,41908.0
E92000001,England,nation,2021-11-21,125603.0,6322.0,31043.0
E92000001,England,nation,2021-11-20,125517.0,6191.0,29211.0
E92000001,England,nation,2021-11-19,125420.0,6310.0,32467.0
E92000001,England,nation,2021-11-18,125318.0,6336.0,36232.0
E92000001,England,nation,2021-11-17,125206.0,6412.0,37421.0
E92000001,England,nation,2021-11-16,125108.0,6623.0,37685.0
E92000001,England,nation,2021-11-15,124978.0,6864.0,41526.0
E92000001,England,nation,2021-11-14,124842.0,6707.0,28913.0
E92000001,England,nation,2021-11-13,124743.0,6639.0,26801.0
E92000001,England,nation,2021-11-12,124632.0,6777.0,30571.0
E92000001,England,nation,2021-11-11,124515.0,6861.0,32906.0
E92000001,England,nation,2021-11-10,124394.0,6961.0,34567.0
E92000001,England,nation,2021-11-09,124275.0,7053.0,33891.0
E92000001,England,nation,2021-11-08,124153.0,7075.0,35294.0
E92000001,England,nation,2021-11-07,124027.0,6910.0,24883.0
E92000001,England,nation,2021-11-06,123893.0,6874.0,22067.0
E92000001,England,nation,2021-11-05,123756.0,7072.0,23838.0
E92000001,England,nation,2021-11-04,123632.0,7201.0,26076.0
E92000001,England,nation,2021-11-03,123512.0,7291.0,28432.0
E92000001,England,nation,2021-11-02,123384.0,7510.0,30420.0
E92000001,England,nation,2021-11-01,123257.0,7535.0,36749.0
E92000001,England,nation,2021-10-31,123121.0,7311.0,28901.0
E92000001,England,nation,2021-10-30,122969.0,7155.0,27683.0
E92000001,England,nation,2021-10-29,122838.0,7113.0,33264.0
E92000001,England,nation,2021-10-28,122708.0,7019.0,34356.0
E92000001,England,nation,2021-10-27,122555.0,6951.0,35768.0
E92000001,England,nation,2021-10-26,122425.0,6883.0,34548.0
E92000001,England,nation,2021-10-25,122296.0,6801.0,39131.0
E92000001,England,nation,2021-10-24,122183.0,6515.0,29490.0
E92000001,England,nation,2021-10-23,122063.0,6386.0,29177.0
E92000001,England,nation,2021-10-22,121933.0,6405.0,33804.0
E92000001,England,nation,2021-10-21,121831.0,6366.0,37789.0
E92000001,England,nation,2021-10-20,121721.0,6299.0,43111.0
E92000001,England,nation,2021-10-19,121603.0,6099.0,43694.0
E92000001,England,nation,2021-10-18,121500.0,5938.0,48247.0
E92000001,England,nation,2021-10-17,121405.0,5623.0,36773.0
E92000001,England,nation,2021-10-16,121302.0,5385.0,31037.0
E92000001,England,nation,2021-10-15,121206.0,5363.0,35920.0
E92000001,England,nation,2021-10-14,121101.0,5289.0,38467.0
E92000001,England,nation,2021-10-13,120991.0,5246.0,39759.0
E92000001,England,nation,2021-10-12,120902.0,5213.0,40064.0
E92000001,England,nation,2021-10-11,120817.0,5206.0,42282.0
E92000001,England,nation,2021-10-10,120727.0,5077.0,30923.0
E92000001,England,nation,2021-10-09,120657.0,4921.0,26604.0
E92000001,England,nation,2021-10-08,120567.0,4975.0,29266.0
E92000001,England,nation,2021-10-07,120477.0,4962.0,31565.0
E92000001,England,nation,2021-10-06,120387.0,5009.0,31917.0
E92000001,England,nation,2021-10-05,120313.0,5006.0,31594.0
E92000001,England,nation,2021-10-04,120227.0,4909.0,35789.0
E92000001,England,nation,2021-10-03,120147.0,4778.0,26627.0
E92000001,England,nation,2021-10-02,120072.0,4652.0,21443.0
E92000001,England,nation,2021-10-01,119998.0,4799.0,23671.0
E92000001,England,nation,2021-09-30,119900.0,4916.0,26248.0
E92000001,England,nation,2021-09-29,119819.0,5017.0,28141.0
E92000001,England,nation,2021-09-28,119735.0,5126.0,29022.0
E92000001,England,nation,2021-09-27,119659.0,5121.0,33901.0
E92000001,England,nation,2021-09-26,119582.0,4949.0,26269.0
E92000001,England,nation,2021-09-25,119514.0,5100.0,22658.0
E92000001,England,nation,2021-09-24,119423.0,5036.0,25221.0
E92000001,England,nation,2021-09-23,119332.0,5214.0,27715.0
E92000001,England,nation,2021-09-22,119230.0,5406.0,28189.0
E92000001,England,nation,2021-09-21,119129.0,5543.0,29952.0
E92000001,England,nation,2021-09-20,119037.0,5727.0,31458.0
E92000001,England,nation,2021-09-19,118935.0,5695.0,24263.0
E92000001,England,nation,2021-09-18,118845.0,5688.0,20521.0
E92000001,England,nation,2021-09-17,118753.0,5910.0,21914.0
E92000001,England,nation,2021-09-16,118631.0,6081.0,21733.0
E92000001,England,nation,2021-09-15,118518.0,6306.0,21956.0
E92000001,England,nation,2021-09-14,118417.0,6344.0,22144.0
E92000001,England,nation,2021-09-13,118299.0,6424.0,24639.0
E92000001,England,nation,2021-09-12,118228.0,6253.0,17511.0
E92000001,England,nation,2021-09-11,118125.0,6206.0,16605.0
E92000001,England,nation,2021-09-10,118022.0,6400.0,20531.0
E92000001,England,nation,2021-09-09,117913.0,6254.0,23906.0
E92000001,England,nation,2021-09-08,117785.0,6302.0,25062.0
E92000001,England,nation,2021-09-07,117671.0,6244.0,27347.0
E92000001,England,nation,2021-09-06,117546.0,6375.0,32374.0
E92000001,England,nation,2021-09-05,117425.0,6167.0,22975.0
E92000001,England,nation,2021-09-04,117309.0,6043.0,22965.0
E92000001,England,nation,2021-09-03,117198.0,6195.0,28113.0
E92000001,England,nation,2021-09-02,117072.0,6186.0,29979.0
E92000001,England,nation,2021-09-01,116973.0,6236.0,30937.0
E92000001,England,nation,2021-08-31,116877.0,6293.0,32853.0
E92000001,England,nation,2021-08-30,116782.0,6002.0,24400.0
E92000001,England,nation,2021-08-29,116692.0,5855.0,18738.0
E92000001,England,nation,2021-08-28,116586.0,5756.0,19693.0
E92000001,England,nation,2021-08-27,116483.0,5889.0,23714.0
E92000001,England,nation,2021-08-26,116377.0,5893.0,25897.0
